date,z1_mixed,z2_rates,z3_inflation,z1_mixed_s,z2_rates_s,z3_inflation_s,hmm_state,regime,regime_gate,composite_score
2024-05-31,-3.0881784803889687,-2.180034740108664,0.5297578894021862,0.09295611763101068,-0.4580627667886108,0.36977754038514554,3,Mild Bull,1.0,0.19203187250996023
2024-06-03,1.9952998887409579,-3.3176475327073955,2.55464076955117,0.07492681103573717,-0.5824938811673114,0.42379722887102544,3,Mild Bull,1.0,0.24462151394422313
2024-06-04,0.9750923494739744,-1.9059396107039532,1.467744930039739,-0.03912114944479739,-0.5701673129690077,0.37127474032289814,3,Mild Bull,1.0,0.17131474103585653
2024-06-05,-3.308689682093767,-2.3217347792124228,-0.09383314011444482,-0.2038797848712704,-0.49105212988395675,0.2639287422889289,3,Mild Bull,1.0,-0.018326693227091684
2024-06-06,0.19843842915712873,0.3060428571422043,-1.2787082432356072,-0.21339792543661867,-0.32040281433248263,0.17447083837512822,3,Mild Bull,1.0,0.019920318725099546
2024-06-07,-0.07083729062586516,4.1891866607505035,1.6347319642503115,-0.24350788373165433,-0.1810757823547427,0.15767188854186437,3,Mild Bull,1.0,0.011952191235059749
2024-06-10,-1.209520171251155,0.7501510614475161,-1.6972552856321665,-0.28225137168197945,-0.2602618725322651,0.06701993492317812,0,Strong Bull,1.0,-0.017529880478087633
2024-06-11,0.5061170943829187,-1.7563265895498636,0.0865624799738788,-0.27463141965384574,-0.38996860940877653,0.06458174233225913,0,Strong Bull,1.0,-0.04701195219123505
2024-06-12,-1.4850578957469944,-2.0638231720713685,0.4227464613650624,-0.30604889332755025,-0.4513574472782337,0.06104451285925916,0,Strong Bull,1.0,-0.098804780876494
2024-06-13,0.8061845798722723,-1.9462349854484806,0.966161813040269,-0.27851591688028254,-0.4321229989080341,0.039422185960969025,0,Strong Bull,1.0,-0.11235059760956174
2024-06-14,1.0853546987187874,-0.9062804307998943,-0.29025532135785154,-0.3052179652706426,-0.33718295121081215,-0.028537122291286077,0,Strong Bull,1.0,-0.0733067729083665
2024-06-17,-3.370190973322807,1.2105715548408686,0.028001894969317778,-0.4014486468604741,-0.21378802953413617,-0.08341052059021292,0,Strong Bull,1.0,-0.2342629482071713
2024-06-18,-0.6321711838847316,-1.537262142736299,-0.5802450911412771,-0.34924221212718903,-0.1616110870762104,-0.1438545396671163,0,Strong Bull,1.0,-0.17848605577689242
2024-06-20,0.12346600421750718,1.2059893665953658,-1.7080731461721808,-0.2828893288060268,-0.04065159183528019,-0.18247903117031164,0,Strong Bull,1.0,-0.07808764940239044
2024-06-21,0.6442241696547105,0.2933097974191094,1.1603658307581555,-0.23685421213604124,0.017975855484117675,-0.14482381692341353,0,Strong Bull,1.0,-0.02151394422310761
2024-06-24,-0.54364438384492,-0.2670068603836968,-1.5493540256364307,-0.2348730145555933,0.06283660570676597,-0.17242808506059387,0,Strong Bull,1.0,0.007968127490039799
2024-06-25,0.22322892791804408,-0.0441183932205437,0.6200044019983033,-0.21745324851067904,0.12418952923393742,-0.13118605616898238,0,Strong Bull,1.0,-0.03266932270916342
2024-06-26,0.5716814392788641,2.4384613016239727,0.62390614852666,-0.22206759128720094,0.19395784888383294,-0.12750355018573517,0,Strong Bull,1.0,-0.014342629482071767
2024-06-27,-0.23878581717903835,-0.7836737015980738,-1.2374929837969322,-0.26636938559202605,0.15150099589672147,-0.16139152913810773,0,Strong Bull,1.0,-0.019920318725099615
2024-06-28,0.07770784027390983,2.639394587125866,-0.2038906337430217,-0.31205035831750055,0.15580287778434976,-0.14147443535753906,0,Strong Bull,1.0,-0.0709163346613546
2024-07-01,0.24070683338325446,2.75965696436752,-1.3290191075517708,-0.37721924097254556,0.035925174204902266,-0.11843653165769624,0,Strong Bull,1.0,-0.17529880478087645
2024-07-02,-1.7297973497342647,-1.8830025970276978,0.7755343479546273,-0.47328442734538057,-0.22013911888267623,-0.03486949916314974,0,Strong Bull,1.0,-0.39920318725099596
2024-07-03,-0.06460756857413712,-2.349495669415951,-0.8479086474857801,-0.5065239675987714,-0.3930602380630036,0.00817734097550793,0,Strong Bull,1.0,-0.5274900398406374
2024-07-05,-0.9839370685470424,-2.457931544623771,0.991560725696653,-0.5618593278033939,-0.46815958567568355,0.09402848053722995,0,Strong Bull,1.0,-0.6239043824701195
2024-07-08,-0.047698176631420036,0.011725134070567593,1.4595085076123575,-0.596090800970834,-0.44377033534095917,0.13500300784098085,0,Strong Bull,1.0,-0.6956175298804781
2024-07-09,0.02007985547124963,0.6013444009704482,0.9559307586854245,-0.6577419053552448,-0.4421558584768111,0.1097522601561629,0,Strong Bull,1.0,-0.6127490039840636
2024-07-10,-3.84361641759025,-1.4399713336854925,-0.05459557808822331,-0.7532840977809803,-0.49271639458502603,0.04219258754488192,0,Strong Bull,1.0,-0.6828685258964143
2024-07-11,-0.11563705922654796,-2.0083007565350934,-2.164837265681084,-0.6943096742162523,-0.49591418373821766,-0.02052767678474382,0,Strong Bull,1.0,-0.6087649402390438
2024-07-12,-2.0749026890972995,-1.480175832166703,1.0828068163483175,-0.6642688814010096,-0.4234926442515655,0.023967538330447465,0,Strong Bull,1.0,-0.6
2024-07-15,-2.2152261042590133,1.7345360717309264,-0.6838946104926769,-0.5636963982009524,-0.2982369453691564,0.015520789544745256,0,Strong Bull,1.0,-0.5752988047808765
2024-07-16,-3.547213228454409,-3.306882905477954,0.39601779814668703,-0.38054742969799227,-0.2746198973417515,0.04204481076091416,0,Strong Bull,1.0,-0.21752988047808763
2024-07-17,2.074463887573816,0.7379615236743237,-1.8832339451580737,-0.039065171257211206,-0.09938969890753657,0.05087018260779441,3,Mild Bull,1.0,0.1784860557768924
2024-07-18,2.942305638217562,2.2183971036305086,-0.051153360855106224,0.19674063424201838,0.033972938397585375,0.15640076084296806,3,Mild Bull,1.0,0.19920318725099603
2024-07-19,2.247334746123245,1.8541594297624815,2.3063194853022253,0.2952681895424708,0.05811436744106119,0.27230904516304544,1,Bear,0.0,0.3617529880478087
