ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
ASMB,36.57,BUY,73.14,73.14,88.57142857142857,77.73630437217835,89.74,73.14,89.74,73.14,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ASND,15.83,WATCH,31.66,31.66,3.389830508474576,7.848547571814684,0.0,31.66,0.0,31.66,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ATAI,16.4,WATCH,32.8,32.8,64.40677966101694,9.770297512770512,64.29,32.8,64.29,32.8,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AUPH,16.235,WATCH,32.47,32.47,30.508474576271187,9.217615856926551,28.57,32.47,28.57,32.47,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AURA,28.84,WATCH,57.68,57.68,52.54237288135594,51.6889995294592,51.79,57.68,51.79,57.68,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AUTL,36.115,BUY,72.23,72.23,71.1864406779661,76.2071671768141,71.43,72.23,71.43,72.23,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AVBP,50.0,BUY,100.0,100.0,83.05084745762711,217.77697439844184,83.93,100.0,83.93,100.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AVIR,16.68,WATCH,33.36,33.36,11.864406779661016,10.711757091261688,8.93,33.36,8.93,33.36,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AVTX,23.94,WATCH,47.88,47.88,57.407407407407405,35.16980030545555,56.91,47.88,56.91,47.88,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AVXL,23.59,WATCH,47.18,47.18,76.27118644067797,33.99340925135773,76.79,47.18,76.79,47.18,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AXSM,13.115,AVOID,26.23,26.23,6.779661016949152,-1.3053240762791276,3.57,26.23,3.57,26.23,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AZN,11.17,AVOID,22.34,22.34,19.047619047619047,-7.852739018885785,16.5,22.34,16.5,22.34,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BBIO,5.105,AVOID,10.21,10.21,5.084745762711865,-28.28615715179912,1.79,10.21,1.79,10.21,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BBOT,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BCAX,14.575,AVOID,29.15,29.15,16.94915254237288,3.618135015056815,14.29,29.15,14.29,29.15,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BCRX,14.5,AVOID,29.0,29.0,18.64406779661017,3.369691577911184,16.07,29.0,16.07,29.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BCYC,44.565,BUY,89.13,89.13,94.91525423728814,104.6845377778148,96.43,89.13,96.43,89.13,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BDTX,21.485,WATCH,42.97,42.97,37.28813559322034,26.909816682156844,35.71,42.97,35.71,42.97,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BEAM,18.265,WATCH,36.53,36.53,62.71186440677966,16.05170250601647,62.5,36.53,62.5,36.53,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BHC,17.585,WATCH,35.17,35.17,38.983050847457626,13.755869093632056,37.5,35.17,37.5,35.17,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
